Year,State,Yes,No,lat,long,code
2010,Guam,77.8,22.2,,,GU
2010,Puerto Rico,92.1,7.9,,,PR
2010,Virgin Islands,69.4,30.6,,,VI
2009,Guam,79.7,20.3,,,GU
2009,Puerto Rico,91.6,8.4,,,PR
2009,Virgin Islands,71.4,28.6,,,VI
2008,Guam,74.7,25.3,,,GU
2008,Puerto Rico,91.7,8.3,,,PR
2008,Virgin Islands,72.4,27.6,,,VI
2007,Guam,81.9,18.1,,,GU
2007,Puerto Rico,91.1,8.9,,,PR
2007,Virgin Islands,71.3,28.7,,,VI
2006,Puerto Rico,92.4,7.6,,,PR
2006,Virgin Islands,70.2,29.8,,,VI
2005,Puerto Rico,93.0,7.0,,,PR
2005,Virgin Islands,69.9,30.1,,,VI
2004,Puerto Rico,92.1,7.9,,,PR
2004,Virgin Islands,70.2,29.8,,,VI
2003,Guam,79.1,20.9,,,GU
2003,Puerto Rico,91.2,8.8,,,PR
2003,Virgin Islands,69.6,30.4,,,VI
2002,Guam,78.2,21.8,,,GU
2002,Puerto Rico,93.0,7.0,,,PR
2002,Virgin Islands,69.0,31.0,,,VI
2001,Guam,81.4,18.6,,,GU
2001,Puerto Rico,91.5,8.5,,,PR
2001,Virgin Islands,71.7,28.3,,,VI
2000,Puerto Rico,91.0,9.0,,,PR
1999,Puerto Rico,88.3,11.7,,,PR
1998,Puerto Rico,89.0,11.0,,,PR
1997,Puerto Rico,89.7,10.3,,,PR
1996,Puerto Rico,86.4,13.6,,,PR
2007,Virginia,88.2,11.8,37.54268067400045,-78.45789046299967,VA
1999,Arizona,85.8,14.2,34.865970280000454,-111.76381127699972,AZ
2001,Idaho,85.2,14.8,43.68263000500048,-114.3637300419997,ID
2009,Missouri,86.4,13.6,38.63579077600048,-92.56630005299968,MO
2005,Oklahoma,79.3,20.7,35.47203135600046,-97.52107021399968,OK
1996,Montana,84.4,15.6,47.06652897200047,-109.42442064499971,MT
1998,Louisiana,77.8,22.2,31.31266064400046,-92.44568007099969,LA
1999,Texas,77.4,22.6,31.827240407000488,-99.42677020599967,TX
2001,Kansas,89.9,10.1,38.34774030000045,-98.20078122699964,KS
2003,Virginia,87.9,12.1,37.54268067400045,-78.45789046299967,VA
2000,District of Columbia,88.5,11.5,38.89037138500049,-77.03196112699965,DC
1996,Vermont,87.0,13.0,43.62538123900049,-72.51764079099962,VT
2001,New Mexico,77.5,22.5,34.52088095200048,-106.24058098499968,NM
2000,Alabama,83.9,16.1,32.84057112200048,-86.63186076199969,AL
2000,New Mexico,76.5,23.5,34.52088095200048,-106.24058098499968,NM
2003,California,83.9,16.1,37.63864012300047,-120.99999953799971,CA
1997,Wyoming,81.0,19.0,43.23554134300048,-108.10983035299968,WY
1996,South Dakota,89.9,10.1,44.35313005300048,-100.3735306369997,SD
1998,Alabama,83.6,16.4,32.84057112200048,-86.63186076199969,AL
2010,New Hampshire,88.7,11.3,43.65595011300047,-71.50036091999965,NH
1996,Texas,75.4,24.6,31.827240407000488,-99.42677020599967,TX
1997,Nevada,85.9,14.1,39.493240390000494,-117.07184056399969,NV
2010,Indiana,85.0,15.0,39.766910452000445,-86.14996019399968,IN
2005,South Dakota,88.5,11.5,44.35313005300048,-100.3735306369997,SD
2008,Missouri,85.5,14.5,38.63579077600048,-92.56630005299968,MO
1999,Maryland,90.2,9.8,39.29058096400047,-76.60926011099963,MD
2010,Florida,83.0,17.0,28.93204037700048,-81.92896053899966,FL
2003,Maine,88.2,11.8,45.254228894000505,-68.98503133599962,ME
2008,North Carolina,82.2,17.8,35.466220975000454,-79.15925046299964,NC
2010,Arkansas,78.7,21.3,34.74865012400045,-92.27449074299966,AR
1998,Mississippi,81.3,18.7,32.745510099000455,-89.53803082499968,MS
2000,Minnesota,92.9,7.1,46.35564873600049,-94.79420050299969,MN
2009,Mississippi,80.0,20.0,32.745510099000455,-89.53803082499968,MS
2000,Kentucky,85.9,14.1,37.64597027100047,-84.77497104799966,KY
2000,Connecticut,90.8,9.2,41.56266102000046,-72.64984095199964,CT
2005,Nevada,78.3,21.7,39.493240390000494,-117.07184056399969,NV
2003,Missouri,87.2,12.8,38.63579077600048,-92.56630005299968,MO
2000,Idaho,82.9,17.1,43.68263000500048,-114.3637300419997,ID
2005,Tennessee,86.0,14.0,35.68094058000048,-85.77449091399967,TN
2009,South Dakota,89.0,11.0,44.35313005300048,-100.3735306369997,SD
1995,New Mexico,81.4,18.6,34.52088095200048,-106.24058098499968,NM
2003,Minnesota,93.1,6.9,46.35564873600049,-94.79420050299969,MN
2007,Wyoming,84.1,15.9,43.23554134300048,-108.10983035299968,WY
2008,North Dakota,88.4,11.6,47.47531977900047,-100.11842104899966,ND
2009,Tennessee,84.3,15.7,35.68094058000048,-85.77449091399967,TN
2003,West Virginia,80.9,19.1,38.66551020200046,-80.71264013499967,WV
2002,Texas,72.2,27.8,31.827240407000488,-99.42677020599967,TX
1996,District of Columbia,86.6,13.4,38.89037138500049,-77.03196112699965,DC
2010,Nebraska,86.3,13.7,41.6410409880005,-99.36572062299967,NE
2009,New Mexico,80.6,19.4,34.52088095200048,-106.24058098499968,NM
2003,Indiana,86.3,13.7,39.766910452000445,-86.14996019399968,IN
1997,Missouri,87.8,12.2,38.63579077600048,-92.56630005299968,MO
2007,Massachusetts,93.8,6.2,42.27687047000046,-72.08269067499964,MA
2000,Tennessee,88.1,11.9,35.68094058000048,-85.77449091399967,TN
1998,Nebraska,92.0,8.0,41.6410409880005,-99.36572062299967,NE
1997,New York,86.0,14.0,42.82700103200045,-75.54397042699964,NY
1998,West Virginia,83.0,17.0,38.66551020200046,-80.71264013499967,WV
1999,Kansas,89.6,10.4,38.34774030000045,-98.20078122699964,KS
2007,Tennessee,85.3,14.7,35.68094058000048,-85.77449091399967,TN
2008,District of Columbia,90.9,9.1,38.89037138500049,-77.03196112699965,DC
2005,Montana,78.5,21.5,47.06652897200047,-109.42442064499971,MT
2000,Utah,88.9,11.1,39.36070017100048,-111.58713063499972,UT
1999,Washington,88.1,11.9,47.52227862900048,-120.47001078999972,WA
1996,Tennessee,88.0,12.0,35.68094058000048,-85.77449091399967,TN
2006,Ohio,87.6,12.4,40.06021014100048,-82.40426005599966,OH
1998,Rhode Island,90.3,9.7,41.70828019300046,-71.52247031399963,RI
2008,Kansas,88.3,11.7,38.34774030000045,-98.20078122699964,KS
2009,California,83.0,17.0,37.63864012300047,-120.99999953799971,CA
2010,New Mexico,80.9,19.1,34.52088095200048,-106.24058098499968,NM
1996,Maryland,90.3,9.7,39.29058096400047,-76.60926011099963,MD
2007,California,84.2,15.8,37.63864012300047,-120.99999953799971,CA
2008,Minnesota,91.8,8.2,46.35564873600049,-94.79420050299969,MN
2002,Oklahoma,80.1,19.9,35.47203135600046,-97.52107021399968,OK
2007,South Dakota,86.4,13.6,44.35313005300048,-100.3735306369997,SD
2006,Colorado,83.0,17.0,38.843840757000464,-106.13361092099969,CO
2010,Colorado,83.6,16.4,38.843840757000464,-106.13361092099969,CO
2000,Vermont,90.0,10.0,43.62538123900049,-72.51764079099962,VT
2007,Arkansas,79.7,20.3,34.74865012400045,-92.27449074299966,AR
1996,New York,87.6,12.4,42.82700103200045,-75.54397042699964,NY
2001,Massachusetts,92.1,7.9,42.27687047000046,-72.08269067499964,MA
2005,Delaware,92.3,7.7,39.008830667000495,-75.57774116799965,DE
1995,New Hampshire,87.8,12.2,43.65595011300047,-71.50036091999965,NH
2010,Michigan,86.1,13.9,44.6613195430005,-84.71439026999968,MI
2004,New York,85.1,14.9,42.82700103200045,-75.54397042699964,NY
2006,Oklahoma,79.2,20.8,35.47203135600046,-97.52107021399968,OK
1999,Louisiana,77.6,22.4,31.31266064400046,-92.44568007099969,LA
2007,Mississippi,80.7,19.3,32.745510099000455,-89.53803082499968,MS
2007,Michigan,87.8,12.2,44.6613195430005,-84.71439026999968,MI
2005,District of Columbia,90.3,9.7,38.89037138500049,-77.03196112699965,DC
1995,Oklahoma,85.1,14.9,35.47203135600046,-97.52107021399968,OK
1999,Alabama,84.9,15.1,32.84057112200048,-86.63186076199969,AL
1997,District of Columbia,88.4,11.6,38.89037138500049,-77.03196112699965,DC
2001,District of Columbia,87.7,12.3,38.89037138500049,-77.03196112699965,DC
1998,Delaware,92.0,8.0,39.008830667000495,-75.57774116799965,DE
2006,Oregon,83.7,16.3,44.56744942400047,-120.15503132599969,OR
2006,North Carolina,82.2,17.8,35.466220975000454,-79.15925046299964,NC
2009,Alaska,82.3,17.7,64.84507995700051,-147.7220590359997,AK
2003,New York,84.3,15.7,42.82700103200045,-75.54397042699964,NY
2002,California,84.6,15.4,37.63864012300047,-120.99999953799971,CA
2002,Virginia,87.5,12.5,37.54268067400045,-78.45789046299967,VA
1995,California,80.5,19.5,37.63864012300047,-120.99999953799971,CA
2009,South Carolina,83.7,16.3,33.998821303000454,-81.04537120699968,SC
2004,California,82.7,17.3,37.63864012300047,-120.99999953799971,CA
2007,Maryland,87.3,12.7,39.29058096400047,-76.60926011099963,MD
2008,Connecticut,91.6,8.4,41.56266102000046,-72.64984095199964,CT
2009,North Carolina,81.9,18.1,35.466220975000454,-79.15925046299964,NC
1996,North Dakota,88.2,11.8,47.47531977900047,-100.11842104899966,ND
2005,Louisiana,77.4,22.6,31.31266064400046,-92.44568007099969,LA
1999,Alaska,76.7,23.3,64.84507995700051,-147.7220590359997,AK
2008,Kentucky,85.6,14.4,37.64597027100047,-84.77497104799966,KY
1996,Wyoming,81.7,18.3,43.23554134300048,-108.10983035299968,WY
1995,Idaho,85.7,14.3,43.68263000500048,-114.3637300419997,ID
2006,Maryland,89.9,10.1,39.29058096400047,-76.60926011099963,MD
2009,Iowa,90.1,9.9,42.46940091300047,-93.81649055599968,IA
2005,Indiana,84.5,15.5,39.766910452000445,-86.14996019399968,IN
1996,New Hampshire,88.1,11.9,43.65595011300047,-71.50036091999965,NH
2007,Oregon,83.7,16.3,44.56744942400047,-120.15503132599969,OR
1997,Connecticut,90.6,9.4,41.56266102000046,-72.64984095199964,CT
1995,Louisiana,79.0,21.0,31.31266064400046,-92.44568007099969,LA
2009,North Dakota,89.3,10.7,47.47531977900047,-100.11842104899966,ND
1996,Nebraska,91.4,8.6,41.6410409880005,-99.36572062299967,NE
2000,Delaware,91.8,8.2,39.008830667000495,-75.57774116799965,DE
2001,Ohio,88.9,11.1,40.06021014100048,-82.40426005599966,OH
2009,West Virginia,82.5,17.5,38.66551020200046,-80.71264013499967,WV
2008,Arkansas,81.7,18.3,34.74865012400045,-92.27449074299966,AR
2004,North Carolina,81.2,18.8,35.466220975000454,-79.15925046299964,NC
2008,New York,87.8,12.2,42.82700103200045,-75.54397042699964,NY
1996,Florida,82.5,17.5,28.93204037700048,-81.92896053899966,FL
2002,South Carolina,84.3,15.7,33.998821303000454,-81.04537120699968,SC
1999,Minnesota,94.2,5.8,46.35564873600049,-94.79420050299969,MN
1998,North Carolina,87.3,12.7,35.466220975000454,-79.15925046299964,NC
1997,Maine,88.0,12.0,45.254228894000505,-68.98503133599962,ME
1996,New Mexico,79.0,21.0,34.52088095200048,-106.24058098499968,NM
1997,Alabama,85.6,14.4,32.84057112200048,-86.63186076199969,AL
2001,Colorado,84.7,15.3,38.843840757000464,-106.13361092099969,CO
2003,Alabama,85.4,14.6,32.84057112200048,-86.63186076199969,AL
1998,Arkansas,84.5,15.5,34.74865012400045,-92.27449074299966,AR
1995,Colorado,85.8,14.2,38.843840757000464,-106.13361092099969,CO
2004,Oklahoma,78.5,21.5,35.47203135600046,-97.52107021399968,OK
2002,Tennessee,87.1,12.9,35.68094058000048,-85.77449091399967,TN
1998,Vermont,89.3,10.7,43.62538123900049,-72.51764079099962,VT
2004,Washington,84.9,15.1,47.52227862900048,-120.47001078999972,WA
1997,Montana,85.4,14.6,47.06652897200047,-109.42442064499971,MT
2008,Maryland,87.9,12.1,39.29058096400047,-76.60926011099963,MD
1999,New Mexico,78.0,22.0,34.52088095200048,-106.24058098499968,NM
1999,New York,85.4,14.6,42.82700103200045,-75.54397042699964,NY
2004,Alabama,82.9,17.1,32.84057112200048,-86.63186076199969,AL
2008,Indiana,85.0,15.0,39.766910452000445,-86.14996019399968,IN
2008,Alaska,82.9,17.1,64.84507995700051,-147.7220590359997,AK
2005,New Mexico,78.1,21.9,34.52088095200048,-106.24058098499968,NM
1998,Washington,89.1,10.9,47.52227862900048,-120.47001078999972,WA
2003,Wisconsin,90.0,10.0,44.39319117400049,-89.81637074199966,WI
2004,Wyoming,82.5,17.5,43.23554134300048,-108.10983035299968,WY
2000,Colorado,86.5,13.5,38.843840757000464,-106.13361092099969,CO
1999,Delaware,90.4,9.6,39.008830667000495,-75.57774116799965,DE
2006,Massachusetts,91.5,8.5,42.27687047000046,-72.08269067499964,MA
1995,North Dakota,89.4,10.6,47.47531977900047,-100.11842104899966,ND
2000,New Hampshire,91.0,9.0,43.65595011300047,-71.50036091999965,NH
2003,Arkansas,80.8,19.2,34.74865012400045,-92.27449074299966,AR
1999,Oregon,84.6,15.4,44.56744942400047,-120.15503132599969,OR
2002,Georgia,84.3,15.7,32.83968109300048,-83.62758034599966,GA
1996,Kansas,89.9,10.1,38.34774030000045,-98.20078122699964,KS
2004,Florida,80.4,19.6,28.93204037700048,-81.92896053899966,FL
1999,Vermont,87.2,12.8,43.62538123900049,-72.51764079099962,VT
2000,North Dakota,88.2,11.8,47.47531977900047,-100.11842104899966,ND
1998,Indiana,86.7,13.3,39.766910452000445,-86.14996019399968,IN
2009,Washington,85.6,14.4,47.52227862900048,-120.47001078999972,WA
1996,Mississippi,85.8,14.2,32.745510099000455,-89.53803082499968,MS
2002,New York,85.0,15.0,42.82700103200045,-75.54397042699964,NY
1995,Rhode Island,89.3,10.7,41.70828019300046,-71.52247031399963,RI
2001,New Jersey,88.7,11.3,40.13057004800049,-74.27369128799967,NJ
2003,New Hampshire,88.1,11.9,43.65595011300047,-71.50036091999965,NH
1999,Missouri,89.1,10.9,38.63579077600048,-92.56630005299968,MO
2000,North Carolina,87.3,12.7,35.466220975000454,-79.15925046299964,NC
1998,Alaska,79.2,20.8,64.84507995700051,-147.7220590359997,AK
2010,Georgia,83.7,16.3,32.83968109300048,-83.62758034599966,GA
2002,Massachusetts,90.8,9.2,42.27687047000046,-72.08269067499964,MA
1997,South Dakota,86.8,13.2,44.35313005300048,-100.3735306369997,SD
2005,Missouri,87.1,12.9,38.63579077600048,-92.56630005299968,MO
2004,Connecticut,90.5,9.5,41.56266102000046,-72.64984095199964,CT
1995,Delaware,88.7,11.3,39.008830667000495,-75.57774116799965,DE
2007,Pennsylvania,89.2,10.8,40.79373015200048,-77.86070029399963,PA
1997,Arkansas,82.7,17.3,34.74865012400045,-92.27449074299966,AR
2000,California,81.6,18.4,37.63864012300047,-120.99999953799971,CA
2002,Michigan,88.0,12.0,44.6613195430005,-84.71439026999968,MI
1997,Alaska,78.7,21.3,64.84507995700051,-147.7220590359997,AK
1997,Mississippi,84.8,15.2,32.745510099000455,-89.53803082499968,MS
2002,South Dakota,88.1,11.9,44.35313005300048,-100.3735306369997,SD
2009,Idaho,81.3,18.7,43.68263000500048,-114.3637300419997,ID
2003,Vermont,89.7,10.3,43.62538123900049,-72.51764079099962,VT
2005,Texas,71.5,28.5,31.827240407000488,-99.42677020599967,TX
2008,Rhode Island,89.2,10.8,41.70828019300046,-71.52247031399963,RI
2001,North Carolina,85.8,14.2,35.466220975000454,-79.15925046299964,NC
2000,Pennsylvania,91.0,9.0,40.79373015200048,-77.86070029399963,PA
2001,Vermont,88.5,11.5,43.62538123900049,-72.51764079099962,VT
1997,Rhode Island,89.3,10.7,41.70828019300046,-71.52247031399963,RI
2006,New Mexico,78.3,21.7,34.52088095200048,-106.24058098499968,NM
2008,Washington,86.7,13.3,47.52227862900048,-120.47001078999972,WA
2005,Arkansas,80.8,19.2,34.74865012400045,-92.27449074299966,AR
1999,Connecticut,89.9,10.1,41.56266102000046,-72.64984095199964,CT
1999,Hawaii,90.9,9.1,21.304850435000446,-157.85774940299973,HI
2007,Nebraska,87.9,12.1,41.6410409880005,-99.36572062299967,NE
2010,California,82.2,17.8,37.63864012300047,-120.99999953799971,CA
2004,Arkansas,81.4,18.6,34.74865012400045,-92.27449074299966,AR
2004,Minnesota,92.1,7.9,46.35564873600049,-94.79420050299969,MN
2005,Alabama,83.1,16.9,32.84057112200048,-86.63186076199969,AL
2005,Hawaii,92.2,7.8,21.304850435000446,-157.85774940299973,HI
2003,Michigan,89.0,11.0,44.6613195430005,-84.71439026999968,MI
2006,Indiana,84.4,15.6,39.766910452000445,-86.14996019399968,IN
2007,Alaska,84.8,15.2,64.84507995700051,-147.7220590359997,AK
1995,Florida,85.0,15.0,28.93204037700048,-81.92896053899966,FL
2003,Oklahoma,80.3,19.7,35.47203135600046,-97.52107021399968,OK
1996,Pennsylvania,88.9,11.1,40.79373015200048,-77.86070029399963,PA
1999,Wisconsin,89.8,10.2,44.39319117400049,-89.81637074199966,WI
1996,North Carolina,87.1,12.9,35.466220975000454,-79.15925046299964,NC
2000,Illinois,89.1,10.9,40.48501028300046,-88.99771017799969,IL
2010,Washington,84.9,15.1,47.52227862900048,-120.47001078999972,WA
2006,Mississippi,79.1,20.9,32.745510099000455,-89.53803082499968,MS
2009,Wisconsin,89.7,10.3,44.39319117400049,-89.81637074199966,WI
2003,Maryland,88.0,12.0,39.29058096400047,-76.60926011099963,MD
1997,Utah,88.9,11.1,39.36070017100048,-111.58713063499972,UT
2007,Washington,86.0,14.0,47.52227862900048,-120.47001078999972,WA
1998,Ohio,91.3,8.7,40.06021014100048,-82.40426005599966,OH
1995,Missouri,85.0,15.0,38.63579077600048,-92.56630005299968,MO
2009,Kansas,88.2,11.8,38.34774030000045,-98.20078122699964,KS
2003,Oregon,81.0,19.0,44.56744942400047,-120.15503132599969,OR
1998,Arizona,86.8,13.2,34.865970280000454,-111.76381127699972,AZ
1999,South Dakota,89.6,10.4,44.35313005300048,-100.3735306369997,SD
2000,Ohio,89.8,10.2,40.06021014100048,-82.40426005599966,OH
2000,Virginia,88.6,11.4,37.54268067400045,-78.45789046299967,VA
2007,Maine,88.1,11.9,45.254228894000505,-68.98503133599962,ME
2005,Nebraska,86.2,13.8,41.6410409880005,-99.36572062299967,NE
2007,North Dakota,88.2,11.8,47.47531977900047,-100.11842104899966,ND
