Year,State,Yes,No,lat,long,code
2008,Texas,74.4,25.6,31.827240407000488,-99.42677020599967,TX
1995,Virginia,88.6,11.4,37.54268067400045,-78.45789046299967,VA
2006,Nevada,77.8,22.2,39.493240390000494,-117.07184056399969,NV
2007,Iowa,89.5,10.5,42.46940091300047,-93.81649055599968,IA
1995,Pennsylvania,90.7,9.3,40.79373015200048,-77.86070029399963,PA
2002,Nevada,77.6,22.4,39.493240390000494,-117.07184056399969,NV
1999,North Carolina,88.5,11.5,35.466220975000454,-79.15925046299964,NC
2009,New Jersey,87.2,12.8,40.13057004800049,-74.27369128799967,NJ
2006,Delaware,90.4,9.6,39.008830667000495,-75.57774116799965,DE
2002,Maryland,90.2,9.8,39.29058096400047,-76.60926011099963,MD
2000,Nebraska,90.9,9.1,41.6410409880005,-99.36572062299967,NE
2005,Colorado,83.9,16.1,38.843840757000464,-106.13361092099969,CO
2000,Mississippi,80.7,19.3,32.745510099000455,-89.53803082499968,MS
2010,Alaska,82.4,17.6,64.84507995700051,-147.7220590359997,AK
2008,Nebraska,87.7,12.3,41.6410409880005,-99.36572062299967,NE
2003,New Jersey,86.3,13.7,40.13057004800049,-74.27369128799967,NJ
2007,Montana,83.1,16.9,47.06652897200047,-109.42442064499971,MT
1997,Minnesota,91.6,8.4,46.35564873600049,-94.79420050299969,MN
2007,Georgia,82.9,17.1,32.83968109300048,-83.62758034599966,GA
2002,Alabama,84.9,15.1,32.84057112200048,-86.63186076199969,AL
2009,Arizona,85.0,15.0,34.865970280000454,-111.76381127699972,AZ
1997,Vermont,85.6,14.4,43.62538123900049,-72.51764079099962,VT
2009,Virginia,88.1,11.9,37.54268067400045,-78.45789046299967,VA
1999,Illinois,88.2,11.8,40.48501028300046,-88.99771017799969,IL
2006,Kentucky,83.0,17.0,37.64597027100047,-84.77497104799966,KY
1995,Wisconsin,92.2,7.8,44.39319117400049,-89.81637074199966,WI
2005,New Hampshire,89.5,10.5,43.65595011300047,-71.50036091999965,NH
2001,Kentucky,84.9,15.1,37.64597027100047,-84.77497104799966,KY
2005,Maryland,89.1,10.9,39.29058096400047,-76.60926011099963,MD
2010,Nevada,80.3,19.7,39.493240390000494,-117.07184056399969,NV
2007,Missouri,86.6,13.4,38.63579077600048,-92.56630005299968,MO
2008,Michigan,88.3,11.7,44.6613195430005,-84.71439026999968,MI
1999,Oklahoma,82.7,17.3,35.47203135600046,-97.52107021399968,OK
1998,Illinois,89.1,10.9,40.48501028300046,-88.99771017799969,IL
2001,Michigan,90.4,9.6,44.6613195430005,-84.71439026999968,MI
2003,Mississippi,80.9,19.1,32.745510099000455,-89.53803082499968,MS
1998,Wisconsin,91.7,8.3,44.39319117400049,-89.81637074199966,WI
2006,Idaho,81.2,18.8,43.68263000500048,-114.3637300419997,ID
1998,New Jersey,89.8,10.2,40.13057004800049,-74.27369128799967,NJ
2005,Georgia,83.4,16.6,32.83968109300048,-83.62758034599966,GA
2004,Massachusetts,90.7,9.3,42.27687047000046,-72.08269067499964,MA
1997,South Carolina,85.0,15.0,33.998821303000454,-81.04537120699968,SC
2004,Kansas,87.0,13.0,38.34774030000045,-98.20078122699964,KS
2001,Delaware,91.4,8.6,39.008830667000495,-75.57774116799965,DE
2002,Kentucky,81.8,18.2,37.64597027100047,-84.77497104799966,KY
2003,Texas,73.3,26.7,31.827240407000488,-99.42677020599967,TX
2009,Oklahoma,80.2,19.8,35.47203135600046,-97.52107021399968,OK
2010,Hawaii,93.2,6.8,21.304850435000446,-157.85774940299973,HI
1995,North Carolina,87.4,12.6,35.466220975000454,-79.15925046299964,NC
2002,North Carolina,83.3,16.7,35.466220975000454,-79.15925046299964,NC
2009,Oregon,82.1,17.9,44.56744942400047,-120.15503132599969,OR
2010,Mississippi,78.4,21.6,32.745510099000455,-89.53803082499968,MS
2001,Arizona,83.1,16.9,34.865970280000454,-111.76381127699972,AZ
2007,South Carolina,83.6,16.4,33.998821303000454,-81.04537120699968,SC
2006,Rhode Island,88.7,11.3,41.70828019300046,-71.52247031399963,RI
2010,Texas,76.9,23.1,31.827240407000488,-99.42677020599967,TX
2002,Maine,85.9,14.1,45.254228894000505,-68.98503133599962,ME
2009,Texas,74.8,25.2,31.827240407000488,-99.42677020599967,TX
2009,Vermont,90.2,9.8,43.62538123900049,-72.51764079099962,VT
2004,Michigan,87.8,12.2,44.6613195430005,-84.71439026999968,MI
2000,Georgia,85.1,14.9,32.83968109300048,-83.62758034599966,GA
2007,Delaware,92.3,7.7,39.008830667000495,-75.57774116799965,DE
2001,New Hampshire,88.5,11.5,43.65595011300047,-71.50036091999965,NH
2007,Arizona,81.9,18.1,34.865970280000454,-111.76381127699972,AZ
2008,New Mexico,80.1,19.9,34.52088095200048,-106.24058098499968,NM
1998,Oklahoma,81.6,18.4,35.47203135600046,-97.52107021399968,OK
2008,Vermont,89.4,10.6,43.62538123900049,-72.51764079099962,VT
1995,Connecticut,90.3,9.7,41.56266102000046,-72.64984095199964,CT
1999,Florida,83.8,16.2,28.93204037700048,-81.92896053899966,FL
2003,District of Columbia,90.1,9.9,38.89037138500049,-77.03196112699965,DC
1998,Massachusetts,91.1,8.9,42.27687047000046,-72.08269067499964,MA
2000,New Jersey,87.1,12.9,40.13057004800049,-74.27369128799967,NJ
2005,West Virginia,81.9,18.1,38.66551020200046,-80.71264013499967,WV
1996,Delaware,89.2,10.8,39.008830667000495,-75.57774116799965,DE
2004,Texas,73.2,26.8,31.827240407000488,-99.42677020599967,TX
2004,New Mexico,78.0,22.0,34.52088095200048,-106.24058098499968,NM
2009,Alabama,84.5,15.5,32.84057112200048,-86.63186076199969,AL
2000,Maryland,90.1,9.9,39.29058096400047,-76.60926011099963,MD
2003,Colorado,85.0,15.0,38.843840757000464,-106.13361092099969,CO
2009,Wyoming,83.6,16.4,43.23554134300048,-108.10983035299968,WY
2008,Wisconsin,89.7,10.3,44.39319117400049,-89.81637074199966,WI
2009,Illinois,86.4,13.6,40.48501028300046,-88.99771017799969,IL
